epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.247,1.26075,3.37984,1.38725,0.00333,1,0.995,0.7772,0.75121,2.77593,0.89838,0.00044,0.00044,0.00044
2,217.114,1.18011,2.23474,1.19965,0.5846,0.75,0.745,0.53003,0.94713,2.64347,1.30422,0.0008109,0.0008109,0.0008109
3,312.458,1.15165,2.1365,1.22813,1,0.59643,0.76318,0.43245,1.58924,3.26911,1.77999,0.00109072,0.00109072,0.00109072
4,438.598,1.19749,1.91393,1.22423,1,0.96895,0.995,0.7047,0.99387,1.87526,1.10097,0.00127946,0.00127946,0.00127946
5,543.533,1.14378,1.6872,1.21342,0.49857,0.74644,0.595,0.43129,0.92865,2.35871,1.10559,0.001208,0.001208,0.001208
6,648.545,1.09959,1.48751,1.20457,0.9747,0.75,0.87,0.77053,0.73989,1.64261,1.02837,0.00101,0.00101,0.00101
7,757.027,1.0472,1.40415,1.15406,1,0.96697,0.995,0.67936,0.95564,1.39455,1.10068,0.000812,0.000812,0.000812
8,859.896,1.02174,1.33685,1.14609,0.78892,0.94458,0.945,0.75717,0.76146,1.29432,1.08639,0.000614,0.000614,0.000614
9,965.826,0.98683,1.20444,1.12269,0.98416,1,0.995,0.85803,0.68558,1.06387,0.93806,0.000416,0.000416,0.000416
10,1074.05,0.8735,1.08622,1.06196,0.99,1,0.995,0.86419,0.55855,0.96733,0.89909,0.000218,0.000218,0.000218
